,isbn,title,authors,published,description
252,9780076044856,Spelling Mastery,"['Robert Dixon', 'Siegfried Engelmann', 'Mary Meier Bauer']",2006,"Spelling Mastery, Student Workbooks, Level F Replacing the old assign-and-test spelling book, Spelling Mastery is an effective, research-based program presents spelling strategies, patterns, and reliable rules. Benefits: Spelling Mastery interweaves three spelling strategies according to students' skill development. The phonemic approach helps beginning spellers learn and apply relationships between spoken sound and written letters to spelling. The morphemic approach shows advanced spellers how to spell prefixes, bases, suffixes and how to combine them to spell multisyllabic words. The intensive whole-word approach teaches students at all levels common words that cannot be taught with phonemic or morphemic strategies. Reliable spelling rules help students move beyond memorization to understand how words are spelled."
253,9780980790559,,,,
254,9781743305751,Strategies to Achieve Reading Success,,2012,
255,9780190312527,Handwriting First for Victoria Foundation,['Lesley Ljungdahl'],2018-10-11,"Oxford Handwriting for Victoria is a comprehensive and engaging program designed to introduce and develop the fundamental skills of handwriting. It includes correct posture and grip models, opportunities to model and practise accurate letter formation and joining techniques, and activities to help every student develop a fluent automatic handwriting style. The Oxford Handwriting for Victoria series is comprised of seven student workbooks for years F-6 featuring words from the most recent Oxford Wordlist as well as themes and characters from Oxford Reading for Comprehension. Key Features of the handwriting books include:state-specific handwriting conventionsengaging full-colour illustrationshelpful tips along the waycolouring-in opportunitiesself-assessment tasksnumber tracing."
256,9780190302689,Australian Primary Integrated Dictionary and Thesaurus,['Oxford Dictionaries Staff'],2016-08-30,"Aimed at Upper primary students (ages 10 to 12)Completely revised and updated to reflect contemporary word creation and usageOver 20,000 dictionary headwords and 10,000 thesaurus headwordsDictionary entries and corresponding thesaurus entries are located on the same page Dictionary and thesaurus headwords are colour-coded for quick visual reference Mixture of serif and sans serif fonts to distinguish between headwords and definitions and to support readability"
257,9781316779132,Up Island,['Anne Rivers Siddons'],2009-10-13,"From childhood, Molly Bell Redwine was taught by her charismatic, domineering mother that ""family is everything."" But no one warned Molly that family can change unexpectedly. In rapid succession, her husband of more than twenty years abandons her for a younger woman, her mother dies, and her Atlanta clan scatters to the four winds. Molly is set adrift in a heartbeat. With her old world crumbling, Molly takes refuge with a friend on Martha's Vineyard, hoping to come to terms with who she truly is. When the summer season ends, Molly decides to stay on, renting a small cottage on a remote up-island pond—becoming part of an odd, new, very real family that taxes her old outworn notions. And as the long Vineyard winter approaches, Molly braces herself for the arduous task she must undertake: a search for renewal and identity, and the strength to carry her through to the warm and healing spring."
258,9781740202978,Targeting Handwriting,['Jane Pinsker'],2001,"The Targeting Handwriting NSW Year 4 Student Book focuses on consolid ation of joining skills, plus: teaching of trickier joins l ike joining to s, horizontal joins to e, joined double f and joined ft students begin to assess their own letter size and spacing, spac ing between words, and slope Handwriting is one of the mos t crucial skills students will develop in primary school. Targeting Hand writing covers the handwriting curriculum in a clear and structured way, with content directly linked to NSW syllabus outcomes. Writing is a vit al, compelling form of communication. Children need to write every day, for a variety of purposes and for a variety of audiences. To be competen t writers, their handwriting needs to be fluent and legible. The teachin g of handwriting is an essential part of the writing curriculum."
259,9781925114300,Maths Mate Mauve,['J. Wright'],2003,
260,9781921535758,Maths Mate Mauve,['J. Wright'],2003,
261,9781921535758,Maths Mate Mauve,['J. Wright'],2003,
262,9781876081621,The Times Law Reports Set,['LexisNexis'],2009-10-07,"The Times Law Reports comprises of the text of the case reports which appear in The Times, to which have been added catchwords summarising the content. The reports comprise brief introductions to the cases and the salient points of the judgments. The Times Law Reports are universally acknowledged for their quality and authority. The Editor, Iain Sutherland, and all the law reporters are barristers or advocates.The reports cover every branch of the law and come from a wide range of jurisdictions including the courts of England and Wales and Scotland, the European Court of Justice in Luxembourg, the European Court of Human Rights in Strasbourg and the International Court of Justice in The Hague."
263,9781876081638,Leonard Cohen,['Leonard Cohen'],2011,"A definitive selection of song lyrics and poems from the Rock-and-Roll Hall of Fame inductee and Grammy Lifetime Achievement Award-winning musical artist includes such influential pieces as ""Sisters of Mercy,"" ""Bird on the Wire"" and ""I'm Your Man."""
264,9781741250923,Targeting Handwriting 2,"['Jane Pinsker', 'Jo Ryan', 'Stephen Michael King']",2004,"Targeting Handwriting Victoria Year 3 Student Book the focus is on te aching the basic joins. The book includes: diagonal joins, horizontal joins and touch joins joining to ascenders letters that don't join tracking exercises to introduce joins The Targeting Handwriting Years 3-6 Student Bo oks have been designed to make learning cursive handwriting as easy as p ossible for students. New skills are introduced sequentially, so that st udents build on skills one by one and aren't called on to use skills tha t haven't been introduced yet. Wherever possible, students copy words un derneath models, so that left-handers aren't disadvantaged, and practice of numerals and punctuation is integrated into the writing activities. The books also encourage and support student self-assessment."
265,9780648237341,Kluwell My Home Reading Orange Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,Suitable for upper level primary school.
266,9780702235467,Home to Mother,"['Doris Pilkington', 'Doris Pilkington Garimara']",2006,"When Gracie, Daisy and Molly are taken from their mother and sent away to the Moore River Settlement, thousands of miles from their home country, they decide to escape. But when the only way home is along a rabbit-proof fence, and you re being chased by the police, escaping is just the start of your adventure.This younger reader's version of Doris Pilkington's amazing best-selling true story of courage and love will grab readers of all ages, and take them on a journey through a country as beautiful as it is harsh. A journey home."
267,9780099999409,How Do I Put it On?,"['Shigeo Watanabe', 'Yasuo Ohtomo']",1993,"A bear demonstrates the right and wrong ways to put on shirt, pants, cap, and shoes."
268,9781925487336,Grammar Conventions,"[""Lauren O'Brien"", 'John Walters']",2012,"""Grammar conventions Activity Books 1 to 6 follow the new national direction. They are desinged to develop students' grammatical skills.""--From back cover."
269,9780190312596,Oxford Handwriting for New South Wales Year 5,['Lesley Ljungdahl'],2018-10-11,"Oxford Handwriting for New South Wales is a comprehensive and engaging program designed to introduce and develop the fundamental skills of handwriting. It includes correct posture and grip models, opportunities to model and practise accurate letter formation and joining techniques, and activities to help every student develop a fluent automatic handwriting style. The Oxford Handwriting for New South Wales series is comprised of seven student workbooks for years K-6 featuring words from the most recent Oxford Wordlist as well as themes and characters from Oxford Reading for Comprehension.Key features of the handwriting books include:state-specific handwriting conventions for NSWengaging full-colour illustrationshelpful tips along the waycolouring-in opportunitiesself-assessment tasksnumber tracing activities."
270,9780190322830,Maths Plus Australian Curriculum Mentals and Homework Book 4 2020,"[""Harry O'Brien"", 'Greg Purcell']",2019-11-28,"The Maths Plus Australian Curriculum Mentals and Homework Book provides students in Year 4 with opportunities to practise and develop skills and strategies.The Mentals and Homework Books: provide essential revision and consolidation activitiesdirectly correspond to the concepts and units of work presented in the Student Books link all activities to the three Australian Curriculum: Mathematics strands of Number and Algebra, Measurement and Geometry, and Statistics and Probability."
271,9781742373836,The Dream of the Thylacine,['Margaret Wild'],2011,"As he is dying in captivity, the a Tasmanian tiger dreams of running free in nature, in a work that features photographs of the world's last known thylacine."
272,9780733320194,The ABC Book of Australian Poetry,"['Libby Hathorn', 'Cassandra Allen', 'Australian Broadcasting Corporation']",2010,"Follow a river of poetry through country, town, the bush, the four seasons, night and day, and explore the Australian landscape through the eyes of our best Australian poets. Age 10-14. 'I am the river, gently flowing, as I wind my way to the sea.' (Mary Duroux) Follow the river of poetry through country, town, the bush, the four seasons, night and day and explore the Australian landscape through the eyes of our best Australian poets. In this beautiful collection of poems for children, award-winning author and poet, Libby Hathorn, has brought together favourites such as those by A.B. 'Banjo' Paterson, Dorothea Mackellar and C.J. Dennis, as well as more contemporary poems by Steven Herrick, Eva Johnson, Les A. Murray and others. Exquisite illustrations by Cassandra Allan make this a collection to treasure. Age 10-14."
273,9781741353501,Sound Waves Foundation Student Book,"['Barbara Murray', 'Terri Watson']",2018,
